1,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
2,informativo,Inicio de proceso bash, común en sistemas operativos.
3,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
4,crítico,Usuario desconocido autenticado desde una IP interna, posible compromiso.
5,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
6,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
7,informativo,Conexión establecida a la IP pública de Google DNS (8.8.8.8).
8,crítico,Ejecución del comando /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
9,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
10,informativo,Usuario jdoe autenticado desde una IP interna.
11,crítico,Ejecución del comando /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
12,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
13,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
14,crítico,Uso de privilegios elevados en /tmp/tmpx837sh.sh, posible ejecución de malware.
15,crítico,Intento de acceso no autorizado a /tmp/tmpx837sh.sh, posible malware.
16,crítico,Archivo descargado en /root/.bash_history, ruta sensible.
17,crítico,Uso de privilegios elevados en /root/.bash_history, ruta sensible.
18,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
19,crítico,Uso de privilegios elevados en /var/log/auth.log, ruta sensible.
20,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
21,crítico,Uso de privilegios elevados en /tmp/tmpx837sh.sh, posible ejecución de malware.
22,informativo,Inicio del proceso sshd, proceso normal del sistema.
23,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
24,crítico,Uso de privilegios elevados en /var/log/auth.log, ruta sensible.
25,crítico,Transferencia de datos (5.4MB) a la IP pública de Google DNS (8.8.8.8), sospechoso.
26,crítico,Intento de acceso no autorizado a la ruta sensible /var/log/auth.log
27,crítico,Ejecución de comando sospechoso /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
28,crítico,Ejecución de comando sospechoso wget que descarga un archivo desde un dominio malicioso.
29,crítico,Archivo descargado en /admin/internal/reporting, ruta sensible.
30,crítico,Ejecución de comando curl que descarga un script desde una IP sospechosa.
31,crítico,Archivo descargado en /tmp/tmpx837sh.sh, posible malware.
32,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
33,crítico,Ejecución de comando curl que descarga un script desde una IP sospechosa.
34,crítico,Intento de acceso no autorizado a la ruta sensible /home/admin/.ssh
35,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
36,crítico,Uso de privilegios elevados en /tmp/tmpx837sh.sh, posible ejecución de malware.
37,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
38,informativo,Conexión establecida a la IP sospechosa 185.23.91.10
39,informativo,Conexión establecida a la IP 10.10.1.3
40,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
41,informativo,Apagado del sistema solicitado por el administrador.
42,informativo,Conexión establecida a la IP sospechosa 185.23.91.10
43,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
44,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
45,informativo,Apagado del sistema solicitado por el administrador.
46,informativo,Inicio de proceso bash, común en sistemas operativos.
47,informativo,Apagado del sistema solicitado por svc_logs.
48,crítico,Apagado del sistema solicitado por usuario desconocido.
49,informativo,Conexión establecida a la IP 10.10.1.3
50,crítico,Intento de acceso no autorizado a la ruta sensible /root/.bash_history
51,crítico,Ejecución de comando curl que descarga un script desde una IP sospechosa.
52,informativo,Usuario admin autenticado desde una IP interna.
53,informativo,Conexión establecida a la IP sospechosa 185.23.91.10
54,informativo,Conexión establecida a la IP sospechosa 185.23.91.10
55,informativo,Apagado del sistema solicitado por svc_logs.
56,crítico,Ejecución del comando bash /tmp/install.sh, script de instalación potencialmente malicioso.
57,crítico,Usuario desconocido autenticado desde una IP interna, posible compromiso.
58,informativo,Usuario svc_invoices autenticado desde una IP interna.
59,crítico,Usuario desconocido autenticado desde una IP interna, posible compromiso.
60,crítico,Ejecución de comando sospechoso /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
61,crítico,Intento de acceso no autorizado a la ruta sensible /admin/internal/reporting
62,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
63,crítico,Ejecución del comando bash /tmp/install.sh, script de instalación potencialmente malicioso.
64,crítico,Inicio de proceso /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
65,crítico,Intento de acceso no autorizado a la ruta sensible /home/admin/.ssh
66,crítico,Uso de privilegios elevados en /tmp/tmpx837sh.sh, posible ejecución de malware.
67,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
68,crítico,Archivo descargado en /home/admin/.ssh, ruta sensible.
69,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
70,informativo,Inicio del proceso sshd, proceso normal del sistema.
71,crítico,Ejecución de comando sospechoso bash /tmp/install.sh, script de instalación potencialmente malicioso.
72,informativo,Apagado del sistema solicitado por jdoe.
73,crítico,Inicio de proceso /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
74,informativo,Apagado del sistema solicitado por svc_invoices.
75,crítico,Intento de acceso no autorizado a la ruta sensible /var/log/auth.log
76,crítico,Transferencia de datos (2.6MB) a la IP 10.10.1.3, sospechoso.
77,informativo,Apagado del sistema solicitado por svc_logs.
78,informativo,Inicio del proceso sshd, proceso normal del sistema.
79,informativo,Inicio de proceso bash, común en sistemas operativos.
80,crítico,Archivo descargado en /home/admin/.ssh, ruta sensible.
81,crítico,Uso de privilegios elevados en /home/admin/.ssh, ruta sensible.
82,informativo,Usuario svc_invoices autenticado desde una IP interna.
83,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
84,crítico,Archivo descargado en /root/.bash_history, ruta sensible.
85,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
86,crítico,Ejecución de comando sospechoso nc que inicia una conexión inversa a una IP sospechosa.
87,informativo,Inicio del proceso sshd, proceso normal del sistema.
88,crítico,Intento de acceso no autorizado a la ruta sensible /root/.bash_history
89,crítico,Transferencia de datos (4.0MB) a la IP 10.10.1.3, sospechoso.
90,informativo,Conexión establecida a la IP pública de Google DNS (8.8.8.8).
91,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
92,crítico,Ejecución de comando sospechoso nc que inicia una conexión inversa a una IP sospechosa.
93,crítico,Ejecución de comando sospechoso bash /tmp/install.sh, script de instalación potencialmente malicioso.
94,informativo,Apagado del sistema solicitado por el administrador.
95,crítico,Transferencia de datos (4.0MB) a la IP 10.10.1.3, sospechoso.
96,crítico,Ejecución de comando sospechoso wget que descarga un archivo desde un dominio malicioso.
97,informativo,Conexión establecida a la IP 203.0.113.50
98,informativo,Inicio de proceso bash, común en sistemas operativos.
99,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
100,crítico,Intento de acceso no autorizado a la ruta sensible /var/log/auth.log
101,informativo,Conexión establecida a la IP pública de Google DNS (8.8.8.8).
102,crítico,Transferencia de datos (5.4MB) a la IP 203.0.113.50, sospechoso.
103,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
104,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
105,crítico,Archivo descargado en /var/log/auth.log, ruta sensible.
106,crítico,Transferencia de datos (3.6MB) a la IP pública de Google DNS (8.8.8.8), sospechoso.
107,crítico,Archivo descargado en /admin/internal/reporting, ruta sensible.
108,crítico,Ejecución del comando /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
109,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
110,informativo,Apagado del sistema solicitado por el administrador.
111,crítico,Archivo descargado en /var/log/auth.log, ruta sensible.
112,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
113,informativo,Inicio de proceso bash, común en sistemas operativos.
114,informativo,Apagado del sistema solicitado por svc_logs.
115,informativo,Apagado del sistema solicitado por jdoe.
116,crítico,Ejecución del comando /usr/bin/python3 exfil.py, sugiere exfiltración de datos.
117,crítico,Intento de acceso no autorizado a /tmp/tmpx837sh.sh, posible malware.
118,informativo,Conexión establecida a la IP pública de Google DNS (8.8.8.8).
119,informativo,Usuario jdoe autenticado desde una IP externa.
120,crítico,Transferencia de datos (3.2MB) a la IP 10.10.1.3, sospechoso.
121,crítico,Intento de acceso no autorizado a /tmp/tmpx837sh.sh, posible malware.
122,crítico,Conexión de reverse shell iniciada, indica posible control remoto.
123,crítico,Ejecución de comando sospechoso curl que descarga un script desde una IP sospechosa.
124,crítico,Transferencia de datos (4.9MB) a la IP sospechosa 185.23.91.10, sospechoso.
125,crítico,Uso de privilegios elevados en /var/log/auth.log, ruta sensible.
126,crítico,Transferencia de datos (1.7MB) a la IP pública de Google DNS (8.8.8.8), sospechoso.
127,crítico,Intento de acceso no autorizado a la ruta sensible /var/log/auth.log
128,crítico,Manipulación de logs detectada, posible ocultamiento de actividad maliciosa.
129,crítico,Intento de acceso no autorizado a la ruta sensible /var/log/auth.log
130,informativo,Conexión establecida a la IP 203.0.113.50
